InitialRed,RedKillBlueRate,InitialBlue,BlueKillRedRate,FinalRed,FinalBlue,BattleDuration
100,0.05000,80,0.06000,52,0,21.52951
104,0.04000,74,0.06500,44,0,28.93607
109,0.05500,73,0.05750,80,0,14.47506
108,0.05130,89,0.07000,55,0,20.17658
106,0.04750,84,0.04000,69,0,20.59870
95,0.04130,81,0.07500,0,43,21.10573
90,0.05380,83,0.04750,50,0,21.49610
98,0.05630,70,0.06750,67,0,18.29709
99,0.04250,75,0.04250,66,0,22.73382
96,0.06000,86,0.05500,44,0,23.15426
91,0.04500,88,0.06250,0,22,35.93975
93,0.04880,71,0.05000,63,0,17.19484
94,0.05250,76,0.08000,51,0,20.69486
105,0.05880,79,0.04500,83,0,13.94324
110,0.04630,78,0.07250,58,0,22.70524
103,0.04380,90,0.05250,0,17,44.09970
101,0.05750,85,0.07750,36,0,23.18288
100,0.05000,80,0.06000,62,0,18.77068
104,0.04000,74,0.06500,50,0,28.05333
109,0.05500,73,0.05750,76,0,16.59985
108,0.05130,89,0.07000,35,0,34.17680
106,0.04750,84,0.04000,72,0,21.08160
95,0.04130,81,0.07500,0,52,19.84078
90,0.05380,83,0.04750,58,0,19.05898
98,0.05630,70,0.06750,39,0,21.35463
99,0.04250,75,0.04250,61,0,23.64128
96,0.06000,86,0.05500,53,0,24.66024
91,0.04500,88,0.06250,0,46,24.67336
93,0.04880,71,0.05000,69,0,17.35000
94,0.05250,76,0.08000,31,0,26.13398
105,0.05880,79,0.04500,80,0,17.97423
110,0.04630,78,0.07250,41,0,21.93044
103,0.04380,90,0.05250,0,25,43.55984
101,0.05750,85,0.07750,47,0,19.81026
100,0.05000,80,0.06000,65,0,15.96741
104,0.04000,74,0.06500,0,41,26.98752
109,0.05500,73,0.05750,84,0,15.88324
108,0.05130,89,0.07000,12,0,46.41249
106,0.04750,84,0.04000,82,0,21.20886
95,0.04130,81,0.07500,0,44,19.04500
90,0.05380,83,0.04750,45,0,25.75112
98,0.05630,70,0.06750,68,0,15.70262
99,0.04250,75,0.04250,83,0,18.82791
96,0.06000,86,0.05500,22,0,36.76957
91,0.04500,88,0.06250,0,61,17.44617
93,0.04880,71,0.05000,57,0,19.15124
94,0.05250,76,0.08000,37,0,26.23479
105,0.05880,79,0.04500,75,0,13.28306
110,0.04630,78,0.07250,43,0,28.41488
103,0.04380,90,0.05250,54,0,29.60979
101,0.05750,85,0.07750,36,0,25.80442
100,0.05000,80,0.06000,49,0,21.84947
104,0.04000,74,0.06500,0,18,46.09803
109,0.05500,73,0.05750,75,0,16.47980
108,0.05130,89,0.07000,0,18,38.62687
106,0.04750,84,0.04000,71,0,20.72988
95,0.04130,81,0.07500,0,45,17.56570
90,0.05380,83,0.04750,37,0,28.16948
98,0.05630,70,0.06750,72,0,12.33227
99,0.04250,75,0.04250,45,0,36.79793
96,0.06000,86,0.05500,62,0,16.20894
91,0.04500,88,0.06250,0,40,27.47696
93,0.04880,71,0.05000,65,0,18.31334
94,0.05250,76,0.08000,26,0,26.50679
105,0.05880,79,0.04500,80,0,13.77425
110,0.04630,78,0.07250,52,0,23.10975
103,0.04380,90,0.05250,32,0,40.24456
101,0.05750,85,0.07750,36,0,30.09015
100,0.05000,80,0.06000,38,0,24.48180
104,0.04000,74,0.06500,33,0,34.81647
109,0.05500,73,0.05750,80,0,15.18164
108,0.05130,89,0.07000,50,0,23.74781
106,0.04750,84,0.04000,71,0,18.46611
95,0.04130,81,0.07500,0,47,20.23767
90,0.05380,83,0.04750,56,0,21.18130
98,0.05630,70,0.06750,55,0,21.34493
99,0.04250,75,0.04250,57,0,24.24628
96,0.06000,86,0.05500,57,0,22.12798
91,0.04500,88,0.06250,0,35,27.77056
93,0.04880,71,0.05000,69,0,17.24784
94,0.05250,76,0.08000,37,0,22.71995
105,0.05880,79,0.04500,63,0,21.65529
110,0.04630,78,0.07250,0,10,47.29891
103,0.04380,90,0.05250,23,0,47.05143
101,0.05750,85,0.07750,50,0,21.52184
100,0.05000,80,0.06000,18,0,51.00576
104,0.04000,74,0.06500,0,24,35.59554
109,0.05500,73,0.05750,77,0,16.83078
108,0.05130,89,0.07000,22,0,35.90521
106,0.04750,84,0.04000,79,0,16.82872
95,0.04130,81,0.07500,0,25,29.13603
90,0.05380,83,0.04750,59,0,20.67916
98,0.05630,70,0.06750,62,0,19.27895
99,0.04250,75,0.04250,74,0,19.24406
96,0.06000,86,0.05500,60,0,17.76539
91,0.04500,88,0.06250,0,56,20.97499
93,0.04880,71,0.05000,60,0,19.28381
94,0.05250,76,0.08000,60,0,18.33032
105,0.05880,79,0.04500,85,0,12.13914
110,0.04630,78,0.07250,59,0,18.80489
103,0.04380,90,0.05250,0,47,27.05942
101,0.05750,85,0.07750,40,0,24.43877
100,0.05000,80,0.06000,45,0,25.11174
104,0.04000,74,0.06500,36,0,30.16184
109,0.05500,73,0.05750,83,0,14.00832
108,0.05130,89,0.07000,0,26,28.29738
106,0.04750,84,0.04000,66,0,19.36297
95,0.04130,81,0.07500,0,30,32.27568
90,0.05380,83,0.04750,61,0,22.03681
98,0.05630,70,0.06750,48,0,21.03467
99,0.04250,75,0.04250,62,0,24.19167
96,0.06000,86,0.05500,53,0,17.35632
91,0.04500,88,0.06250,0,37,30.63824
93,0.04880,71,0.05000,33,0,33.68784
94,0.05250,76,0.08000,0,25,25.31071
105,0.05880,79,0.04500,73,0,15.90019
110,0.04630,78,0.07250,85,0,14.89136
103,0.04380,90,0.05250,7,0,71.84860
101,0.05750,85,0.07750,53,0,18.24767
100,0.05000,80,0.06000,58,0,22.17818
104,0.04000,74,0.06500,34,0,31.59329
109,0.05500,73,0.05750,84,0,13.80017
108,0.05130,89,0.07000,0,45,26.08818
106,0.04750,84,0.04000,72,0,24.39174
95,0.04130,81,0.07500,0,55,18.81517
90,0.05380,83,0.04750,40,0,29.72492
98,0.05630,70,0.06750,56,0,16.25675
99,0.04250,75,0.04250,67,0,20.04505
96,0.06000,86,0.05500,39,0,26.59048
91,0.04500,88,0.06250,0,26,33.46764
93,0.04880,71,0.05000,72,0,17.21722
94,0.05250,76,0.08000,40,0,21.97481
105,0.05880,79,0.04500,81,0,15.91383
110,0.04630,78,0.07250,71,0,16.62252
103,0.04380,90,0.05250,39,0,31.35275
101,0.05750,85,0.07750,0,26,31.41481
100,0.05000,80,0.06000,30,0,35.94710
104,0.04000,74,0.06500,66,0,24.46297
109,0.05500,73,0.05750,93,0,11.69984
108,0.05130,89,0.07000,0,26,32.58002
106,0.04750,84,0.04000,64,0,25.28060
95,0.04130,81,0.07500,0,43,23.92066
90,0.05380,83,0.04750,37,0,31.07269
98,0.05630,70,0.06750,55,0,18.38606
99,0.04250,75,0.04250,75,0,18.14323
96,0.06000,86,0.05500,31,0,29.08662
91,0.04500,88,0.06250,0,32,30.16679
93,0.04880,71,0.05000,65,0,17.79322
94,0.05250,76,0.08000,0,11,43.61452
105,0.05880,79,0.04500,67,0,17.86253
110,0.04630,78,0.07250,48,0,27.87960
103,0.04380,90,0.05250,46,0,28.16572
101,0.05750,85,0.07750,50,0,20.23975
100,0.05000,80,0.06000,45,0,23.89501
104,0.04000,74,0.06500,35,0,34.61350
109,0.05500,73,0.05750,73,0,16.40156
108,0.05130,89,0.07000,20,0,39.24851
106,0.04750,84,0.04000,71,0,24.09530
95,0.04130,81,0.07500,0,48,19.45115
90,0.05380,83,0.04750,55,0,22.86908
98,0.05630,70,0.06750,51,0,18.28289
99,0.04250,75,0.04250,64,0,23.03149
96,0.06000,86,0.05500,67,0,16.88845
91,0.04500,88,0.06250,0,16,43.83072
93,0.04880,71,0.05000,66,0,17.38732
94,0.05250,76,0.08000,0,21,27.84089
105,0.05880,79,0.04500,87,0,12.02120
110,0.04630,78,0.07250,0,23,42.08550
103,0.04380,90,0.05250,7,0,70.42391
101,0.05750,85,0.07750,0,19,39.06695
100,0.05000,80,0.06000,30,0,33.42935
104,0.04000,74,0.06500,24,0,47.38393
109,0.05500,73,0.05750,62,0,22.43005
108,0.05130,89,0.07000,38,0,32.22091
106,0.04750,84,0.04000,69,0,25.26794
95,0.04130,81,0.07500,0,61,11.81434
90,0.05380,83,0.04750,47,0,25.09077
98,0.05630,70,0.06750,57,0,18.55876
99,0.04250,75,0.04250,64,0,20.54547
96,0.06000,86,0.05500,44,0,21.72420
91,0.04500,88,0.06250,0,50,22.83322
93,0.04880,71,0.05000,26,0,45.28406
94,0.05250,76,0.08000,49,0,22.79783
105,0.05880,79,0.04500,89,0,13.96363
110,0.04630,78,0.07250,58,0,23.82579
103,0.04380,90,0.05250,26,0,48.06963
101,0.05750,85,0.07750,0,23,30.28178
100,0.05000,80,0.06000,34,0,33.75204
104,0.04000,74,0.06500,39,0,31.18118
109,0.05500,73,0.05750,74,0,14.24245
108,0.05130,89,0.07000,57,0,24.61085
106,0.04750,84,0.04000,71,0,21.64275
95,0.04130,81,0.07500,0,62,17.15961
90,0.05380,83,0.04750,32,0,31.62196
98,0.05630,70,0.06750,63,0,13.95463
99,0.04250,75,0.04250,79,0,17.51330
96,0.06000,86,0.05500,74,0,14.70510
91,0.04500,88,0.06250,0,51,23.77383
93,0.04880,71,0.05000,66,0,17.25421
94,0.05250,76,0.08000,0,38,22.08786
105,0.05880,79,0.04500,80,0,14.33145
110,0.04630,78,0.07250,66,0,19.57860
103,0.04380,90,0.05250,26,0,45.97232
101,0.05750,85,0.07750,0,18,35.94968
100,0.05000,80,0.06000,34,0,30.98089
104,0.04000,74,0.06500,27,0,33.66050
109,0.05500,73,0.05750,88,0,14.86403
108,0.05130,89,0.07000,49,0,23.47485
106,0.04750,84,0.04000,73,0,19.57666
95,0.04130,81,0.07500,0,40,21.89244
90,0.05380,83,0.04750,61,0,16.88503
98,0.05630,70,0.06750,56,0,21.81143
99,0.04250,75,0.04250,73,0,17.24535
96,0.06000,86,0.05500,54,0,23.14726
91,0.04500,88,0.06250,0,51,20.04096
93,0.04880,71,0.05000,67,0,16.71722
94,0.05250,76,0.08000,0,18,29.51353
105,0.05880,79,0.04500,74,0,15.19244
110,0.04630,78,0.07250,48,0,23.76167
