eta_1,eta_2,gam_1,gam_2,c_i,c_o,eps_lam,c_lam,del_0,stp,mdl_typ,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
0.19,0.22,0.43,1.23,3,3,1.22,1.13,0.07,0,2,0.45151,0.45075,0.45334,0.44483,0.44906,0.44515,0.44648,0.43644,0.44604,0.44977,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.22,0.43,1.23,3,3,1.22,1.13,0.07,0,3,0.45116,0.44822,0.45197,0.44361,0.44583,0.44408,0.44611,0.44667,0.44449,0.44399,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.22,0.43,1.23,3,3,1.22,1.13,0.07,0,4,0.45305,0.44951,0.45263,0.44523,0.44816,0.44492,0.44611,0.43414,0.44528,0.44945,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.22,0.43,1.23,3,3,1.22,1.13,0.07,0,5,0.45151,0.45075,0.45334,0.44483,0.44906,0.44515,0.44648,0.43644,0.44604,0.44977,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.22,0.43,1.23,3,3,1.22,1.13,0.07,0,6,0.45151,0.45075,0.45334,0.44483,0.44906,0.44515,0.44648,0.43644,0.44604,0.44977,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.22,0.43,1.23,3,3,1.22,1.13,0.07,1,1,0.44954,0.44794,0.45114,0.44331,0.44623,0.4425,0.44394,0.4465,0.44293,0.44582,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.22,0.43,1.23,3,3,1.22,1.13,0.07,1,2,0.45039,0.44866,0.4521,0.44427,0.44749,0.44361,0.44642,0.44766,0.44402,0.44789,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.22,0.43,1.23,3,3,1.22,1.13,0.07,1,3,0.44983,0.44826,0.45064,0.44371,0.4475,0.44292,0.44512,0.44694,0.44333,0.44752,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.22,0.43,1.23,3,3,1.22,1.13,0.07,1,4,0.45007,0.44832,0.45211,0.44387,0.44764,0.44321,0.44597,0.44731,0.44362,0.44737,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.22,0.43,1.23,3,3,1.22,1.13,0.07,1,5,0.45039,0.44866,0.4521,0.44427,0.44749,0.44361,0.44642,0.44766,0.44402,0.44789,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.22,0.43,1.23,3,3,1.22,1.13,0.07,1,6,0.45039,0.44866,0.4521,0.44427,0.44749,0.44361,0.44642,0.44766,0.44402,0.44789,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.86,0.29,1.29,2,1,0.48,1.75,0.04,0,1,0.46243,0.46155,0.46273,0.45997,0.46134,0.45972,0.46026,0.46135,0.4599,0.46106,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.86,0.29,1.29,2,1,0.48,1.75,0.04,0,2,0.46254,0.46167,0.46283,0.46011,0.46148,0.45986,0.4604,0.46147,0.46004,0.46119,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.86,0.29,1.29,2,1,0.48,1.75,0.04,0,3,0.46246,0.46157,0.46275,0.46,0.46137,0.45974,0.46038,0.46137,0.45993,0.46109,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.86,0.29,1.29,2,1,0.48,1.75,0.04,0,4,0.46254,0.46167,0.46283,0.46011,0.46148,0.45986,0.4604,0.46147,0.46004,0.46119,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.86,0.29,1.29,2,1,0.48,1.75,0.04,0,5,0.46254,0.46167,0.46283,0.46011,0.46148,0.45986,0.4604,0.46147,0.46004,0.46119,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.86,0.29,1.29,2,1,0.48,1.75,0.04,0,6,0.46254,0.46167,0.46283,0.46011,0.46148,0.45986,0.4604,0.46147,0.46004,0.46119,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.86,0.29,1.29,2,1,0.48,1.75,0.04,1,1,0.46243,0.46155,0.46273,0.45997,0.46134,0.45972,0.46026,0.46135,0.4599,0.46106,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.86,0.29,1.29,2,1,0.48,1.75,0.04,1,2,0.46254,0.46167,0.46283,0.46012,0.46149,0.45986,0.4604,0.46147,0.46004,0.46119,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.86,0.29,1.29,2,1,0.48,1.75,0.04,1,3,0.46246,0.46157,0.46275,0.46,0.46138,0.45974,0.46038,0.46137,0.45993,0.46109,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.86,0.29,1.29,2,1,0.48,1.75,0.04,1,4,0.46254,0.46167,0.46283,0.46012,0.46149,0.45986,0.4604,0.46147,0.46004,0.46119,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.86,0.29,1.29,2,1,0.48,1.75,0.04,1,5,0.46254,0.46167,0.46283,0.46012,0.46149,0.45986,0.4604,0.46147,0.46004,0.46119,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.19,0.86,0.29,1.29,2,1,0.48,1.75,0.04,1,6,0.46254,0.46167,0.46283,0.46012,0.46149,0.45986,0.4604,0.46147,0.46004,0.46119,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.14,0.53,0.87,1.26,0,3,1.13,1.81,0.79,0,1,0.076371,0.053751,0.16444,0.10547,0.2239,0.19205,0.21757,0.32024,0.12451,0.19628,0.21082,0.13565,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0.14,0.53,0.87,1.26,0,3,1.13,1.81,0.79,0,2,0.13392,0.087049,0.070036,0.045106,0.1002,0.11761,0.072142,0.10669,0.083439,0.073308,0.9551,0.38136,0.15848,0.1551,0.55497,0.74222,0.25861,0.82566,0.44381,0.26262,1,1,1,1,1,1,1,1,1,1
0.14,0.53,0.87,1.26,0,3,1.13,1.81,0.79,0,3,0.10968,0.18337,0.080218,0.053224,0.032752,0.18627,0.21529,0.12235,0.031447,0.087765,0.57438,1,0.2531,0.067026,0.12097,1,1,1,0.093883,0.31892,1,0,1,1,1,0,0,0,1,1
0.14,0.53,0.87,1.26,0,3,1.13,1.81,0.79,0,4,0.076371,0.053751,0.16444,0.10547,0.2239,0.19205,0.21757,0.32024,0.12451,0.19628,0.21082,0.13565,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0.14,0.53,0.87,1.26,0,3,1.13,1.81,0.79,0,5,0.076371,0.053751,0.16444,0.10547,0.2239,0.19205,0.21757,0.32024,0.12451,0.19628,0.21082,0.13565,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0.14,0.53,0.87,1.26,0,3,1.13,1.81,0.79,0,6,0.076371,0.053751,0.16444,0.10547,0.2239,0.19205,0.21757,0.32024,0.12451,0.19628,0.21082,0.13565,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0.14,0.53,0.87,1.26,0,3,1.13,1.81,0.79,1,1,0.090664,0.057252,0.062841,0.096894,0.17107,0.19097,0.19987,0.32009,0.065552,0.25731,0.53037,0.17346,0.088345,0.61785,1,1,1,1,0.097403,1,1,1,1,1,0,0,0,0,1,0
0.14,0.53,0.87,1.26,0,3,1.13,1.81,0.79,1,2,0.16275,0.12146,0.058199,0.043806,0.12878,0.13562,0.07641,0.092409,0.073441,0.085641,1,0.61691,0.1433,0.15466,0.85904,1,0.25114,0.34934,0.24695,0.28899,0,1,1,1,1,0,1,1,1,1
0.14,0.53,0.87,1.26,0,3,1.13,1.81,0.79,1,3,0.28777,0.18839,0.082393,0.0394,0.057088,0.16322,0.21529,0.15126,0.042745,0.046826,1,1,0.32157,0.10801,0.14168,0.90186,1,1,0.17243,0.13517,0,0,1,1,1,1,0,0,1,1
0.14,0.53,0.87,1.26,0,3,1.13,1.81,0.79,1,4,0.090664,0.057252,0.062841,0.096894,0.17107,0.19097,0.19987,0.32009,0.065552,0.25731,0.53037,0.17346,0.088345,0.61785,1,1,1,1,0.097403,1,1,1,1,1,0,0,0,0,1,0
0.14,0.53,0.87,1.26,0,3,1.13,1.81,0.79,1,5,0.090664,0.057252,0.062841,0.096894,0.17107,0.19097,0.19987,0.32009,0.065552,0.25731,0.53037,0.17346,0.088345,0.61785,1,1,1,1,0.097403,1,1,1,1,1,0,0,0,0,1,0
0.14,0.53,0.87,1.26,0,3,1.13,1.81,0.79,1,6,0.090664,0.057252,0.062841,0.096894,0.17107,0.19097,0.19987,0.32009,0.065552,0.25731,0.53037,0.17346,0.088345,0.61785,1,1,1,1,0.097403,1,1,1,1,1,0,0,0,0,1,0
0.11,0.68,0.84,1.35,4,1,0.66,2,0.48,0,1,0.034843,0.024622,0.065239,0.077103,0.0086339,0.021145,0.15133,0.02283,0.01126,0.022969,0.084667,0.053233,0.053233,0.0721,0.052367,0.12223,1,0.068267,0.0533,0.085767,1,1,1,1,1,1,0,1,1,1
0.11,0.68,0.84,1.35,4,1,0.66,2,0.48,0,2,0.12504,0.094404,0.091344,0.088847,0.12807,0.11637,0.16486,0.1863,0.12378,0.13889,0.50192,0.38955,0.38932,0.39038,0.62347,0.49848,1,1,0.62936,0.62565,1,1,1,1,1,1,0,0,1,1
0.11,0.68,0.84,1.35,4,1,0.66,2,0.48,0,3,0.04411,0.025509,0.043893,0.029295,0.030868,0.050907,0.023702,0.07374,0.035429,0.076185,0.13117,0.10162,0.10162,0.10162,0.10162,0.10162,0.10162,0.25486,0.10162,0.16459,1,1,1,1,1,1,1,1,1,1
0.11,0.68,0.84,1.35,4,1,0.66,2,0.48,0,4,0.034843,0.024622,0.065239,0.077103,0.0086339,0.021145,0.15133,0.02283,0.01126,0.022969,0.084667,0.053233,0.053233,0.0721,0.052367,0.12223,1,0.068267,0.0533,0.085767,1,1,1,1,1,1,0,1,1,1
0.11,0.68,0.84,1.35,4,1,0.66,2,0.48,0,5,0.03475,0.024553,0.0652,0.077057,0.0085428,0.023377,0.15128,0.022732,0.011191,0.07319,0.08419,0.052933,0.052933,0.071694,0.052072,0.12154,1,0.067882,0.053,0.085283,1,1,1,1,1,1,0,1,1,1
0.11,0.68,0.84,1.35,4,1,0.66,2,0.48,0,6,0.025365,0.024569,0.065209,0.077068,0.0083108,0.070593,0.15129,0.022755,0.011207,0.079328,0.084301,0.053004,0.053004,0.071789,0.052141,0.24554,1,0.067972,0.05307,0.28719,1,1,1,1,1,1,0,1,1,1
